date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
1951-10,3801688,3659620,3517552,3375484,3233416,3091349,2949281,2807213,2708467,2609721,2510974,2412228,2313482,2283981,2254480,2224980,2195479,2165978,2197104,2228230,2259355,2290481,2321607,2355381,2389155,2422930,2456704,2490478,2475400,2460322,2445244,2430166,2415088,2389381,2363673,2337966,2312258,2286551,2253417,2220284,2187150,2154017,2120883,2068013,2015142,1962272,1909401,1856531,1822308,1788086,1753863,1719641,1685418,1643548,1601679,1559809,1517940,1476070,1430706,1385342,1339977,1294613,1249249,1200462,1151675,1102888,1054101,1005314,943951,882589,821226,759864,698501,648028,597554,547081,496607,446134,403901,361668,319436,277203,234970,206996,179022,151047,123073,95099,81631,68164,54696,41229,27761,23341,18920,14500,10079,5659,5040,4422,3804
1951-11,3809141,3667381,3525621,3383861,3242101,3100342,2958582,2816822,2717037,2617252,2517468,2417683,2317898,2287435,2256973,2226510,2196048,2165585,2196140,2226694,2257249,2287803,2318358,2352638,2386918,2421197,2455477,2489757,2475361,2460966,2446570,2432175,2417779,2391709,2365638,2339568,2313497,2287427,2254808,2222189,2189570,2156951,2124332,2071229,2018125,1965022,1911918,1858815,1824555,1790295,1756036,1721776,1687516,1645588,1603659,1561731,1519802,1477874,1432462,1387050,1341637,1296225,1250813,1202111,1153410,1104708,1056007,1007305,945832,884359,822885,761412,699939,649380,598820,548261,497701,447142,404843,362544,320245,277946,235647,207594,179542,151489,123437,95384,81873,68362,54851,41340,27829,23398,18967,14535,10104,5673,5043,4414,3784
1951-12,3816592,3675141,3533689,3392237,3250786,3109334,2967883,2826431,2725608,2624784,2523961,2423137,2322314,2290890,2259466,2228041,2196617,2165193,2195176,2225159,2255143,2285126,2315109,2349894,2384680,2419465,2454251,2489036,2475323,2461610,2447897,2434184,2420471,2394038,2367604,2341171,2314737,2288304,2256200,2224095,2191991,2159886,2127782,2074446,2021109,1967773,1914436,1861100,1826803,1792506,1758208,1723911,1689614,1647627,1605640,1563653,1521666,1479679,1434219,1388759,1343298,1297838,1252378,1203761,1155145,1106528,1057912,1009295,947711,886128,824544,762961,701377,650732,600086,549441,498795,448150,405785,363420,321055,278690,236325,208194,180062,151931,123799,95668,82114,68560,55006,41452,27898,23456,19014,14572,10130,5688,5047,4406,3765
1952-01,3815012,3675660,3536307,3396954,3257602,3118249,2978897,2839544,2737427,2635309,2533192,2431074,2328957,2296341,2263725,2231108,2198492,2165876,2195071,2224266,2253461,2282656,2311851,2346950,2382050,2417149,2452249,2487348,2474536,2461724,2448912,2436100,2423288,2396474,2369660,2342846,2316032,2289218,2257499,2225779,2194060,2162340,2130621,2077295,2023969,1970644,1917318,1863992,1829497,1795003,1760508,1726014,1691519,1649503,1607487,1565471,1523455,1481439,1435991,1390543,1345094,1299646,1254198,1205548,1156897,1108247,1059596,1010946,949395,887843,826292,764740,703189,652359,601529,550698,499868,449038,406640,364241,321843,279444,237046,208835,180623,152412,124200,95989,82387,68786,55184,41583,27981,23525,19069,14612,10156,5700,5056,4411,3767
1952-02,3813433,3676179,3538925,3401671,3264417,3127164,2989910,2852656,2749245,2645834,2542423,2439012,2335601,2301793,2267985,2234176,2200368,2166560,2194967,2223373,2251780,2280186,2308593,2344007,2379420,2414834,2450247,2485661,2473750,2461839,2449928,2438017,2426106,2398911,2371716,2344521,2317326,2290131,2258797,2227462,2196128,2164793,2133459,2080144,2026829,1973514,1920199,1866884,1832192,1797500,1762808,1728116,1693424,1651379,1609334,1567289,1525244,1483199,1437763,1392327,1346891,1301455,1256019,1207334,1158650,1109965,1061281,1012596,951077,889558,828040,766521,705002,653987,602972,551957,500942,449927,407495,365063,322630,280198,237766,209475,181184,152892,124601,96310,82661,69012,55362,41713,28064,23594,19124,14653,10183,5713,5065,4417,3768
1952-03,3811854,3676699,3541544,3406389,3271234,3136078,3000923,2865768,2761063,2656358,2551654,2446949,2342244,2307244,2272244,2237244,2202244,2167244,2194862,2222480,2250099,2277717,2305335,2341063,2376790,2412518,2448245,2483973,2472963,2461953,2450943,2439933,2428923,2401347,2373771,2346196,2318620,2291044,2260095,2229146,2198196,2167247,2136298,2082994,2029689,1976385,1923080,1869776,1834887,1799997,1765108,1730218,1695329,1653255,1611181,1569107,1527033,1484959,1439535,1394111,1348687,1303263,1257839,1209121,1160402,1111684,1062965,1014247,952761,891274,829788,768301,706815,655615,604415,553215,502015,450815,408349,365884,323418,280953,238487,210116,181745,153373,125002,96631,82934,69237,55541,41844,28147,23663,19179,14694,10210,5726,5074,4422,3770
1952-04,3810275,3677218,3544162,3411106,3278049,3144993,3011936,2878880,2772881,2666883,2560884,2454886,2348887,2312695,2276503,2240312,2204120,2167928,2194758,2221588,2248417,2275247,2302077,2338119,2374161,2410202,2446244,2482286,2472177,2462068,2451958,2441849,2431740,2403783,2375827,2347870,2319914,2291957,2261393,2230829,2200265,2169701,2139137,2085843,2032550,1979256,1925963,1872669,1837582,1802495,1767407,1732320,1697233,1655130,1613027,1570925,1528822,1486719,1441307,1395895,1350484,1305072,1259660,1210908,1162155,1113403,1064650,1015898,954444,892990,831536,770082,708628,657243,605858,554473,503088,451703,409204,366705,324206,281707,239208,210757,182306,153855,125404,96953,83208,69464,55719,41975,28230,23732,19234,14735,10237,5739,5083,4428,3772
1952-05,3808697,3677739,3546781,3415823,3284865,3153908,3022950,2891992,2784700,2677407,2570115,2462822,2355530,2318146,2280763,2243379,2205996,2168612,2194653,2220695,2246736,2272778,2298819,2335175,2371531,2407887,2444243,2480599,2471391,2462182,2452974,2443765,2434557,2406220,2377882,2349545,2321207,2292870,2262691,2232512,2202333,2172154,2141975,2088692,2035409,1982127,1928844,1875561,1840276,1804992,1769707,1734423,1699138,1657006,1614874,1572743,1530611,1488479,1443079,1397679,1352280,1306880,1261480,1212694,1163907,1115121,1066334,1017548,956126,894705,833283,771862,710440,658870,607300,555731,504161,452591,410058,367526,324993,282461,239928,211397,182866,154336,125805,97274,83482,69690,55897,42105,28313,23801,19288,14776,10263,5751,5092,4433,3774
1952-06,3807117,3678258,3549399,3420540,3291681,3162823,3033964,2905105,2796519,2687933,2579346,2470760,2362174,2323598,2285022,2246447,2207871,2169295,2194548,2219801,2245055,2270308,2295561,2332231,2368901,2405571,2442241,2478911,2470604,2462297,2453989,2445682,2437375,2408657,2379939,2351220,2322502,2293784,2263990,2234196,2204402,2174608,2144814,2091542,2038270,1984997,1931725,1878453,1842971,1807489,1772007,1736525,1701043,1658882,1616721,1574561,1532400,1490239,1444851,1399464,1354076,1308689,1263301,1214481,1165660,1116840,1068019,1019199,957810,896421,835031,773642,712253,660498,608744,556989,505235,453480,410914,368348,325781,283215,240649,212038,183427,154817,126206,97595,83755,69915,56076,42236,28396,23870,19343,14817,10290,5764,5101,4438,3776
1952-07,3805537,3678777,3552017,3425257,3298497,3171737,3044977,2918217,2808337,2698457,2588577,2478697,2368817,2329049,2289282,2249514,2209747,2169979,2194444,2218909,2243373,2267838,2292303,2329287,2366271,2403256,2440240,2477224,2469818,2462411,2455005,2447598,2440192,2411093,2381994,2352895,2323796,2294697,2265288,2235879,2206471,2177062,2147653,2094391,2041130,1987868,1934607,1881345,1845666,1809986,1774307,1738627,1702948,1660758,1618568,1576379,1534189,1491999,1446623,1401248,1355872,1310497,1265121,1216267,1167412,1118558,1069703,1020849,959492,898136,836779,775423,714066,662126,610187,558247,506308,454368,411768,369168,326569,283969,241369,212678,183988,155297,126607,97916,84029,70141,56254,42366,28479,23939,19398,14858,10317,5777,5110,4444,3777
