date,balance
1973-05,41409416666.666664
1973-06,41604500000.0
1973-07,41799583333.333336
1973-08,41994666666.666664
1973-09,42189750000.0
1973-10,42384833333.333336
1973-11,42579916666.666664
1973-12,42775000000.0
1974-01,42911583333.333336
1974-02,43048166666.666664
1974-03,43184750000.0
1974-04,43321333333.333336
1974-05,43457916666.666664
1974-06,43594500000.0
1974-07,43731083333.333336
1974-08,43867666666.666664
1974-09,44004250000.0
1974-10,44140833333.333336
1974-11,44277416666.666664
1974-12,44414000000.0
1975-01,44536666666.666664
1975-02,44659333333.333336
1975-03,44782000000.0
1975-04,44904666666.666664
1975-05,45027333333.333336
1975-06,45150000000.0
1975-07,45272666666.666664
1975-08,45395333333.333336
1975-09,45518000000.0
1975-10,45640666666.666664
1975-11,45763333333.333336
1975-12,45886000000.0
1976-01,45757333333.333336
1976-02,45628666666.666664
1976-03,45500000000.0
1976-04,45371333333.333336
1976-05,45242666666.666664
1976-06,45114000000.0
1976-07,44985333333.333336
1976-08,44856666666.666664
1976-09,44728000000.0
1976-10,44599333333.333336
1976-11,44470666666.666664
1976-12,44342000000.0
1977-01,44074583333.333336
1977-02,43807166666.666664
1977-03,43539750000.0
1977-04,43272333333.333336
1977-05,43004916666.666664
1977-06,42737500000.0
1977-07,42470083333.333336
1977-08,42202666666.666664
1977-09,41935250000.0
1977-10,41667833333.333336
1977-11,41400416666.666664
1977-12,41133000000.0
1978-01,40693666666.666664
1978-02,40254333333.333336
1978-03,39815000000.0
1978-04,39375666666.666664
1978-05,38936333333.333336
1978-06,38497000000.0
1978-07,38057666666.666664
1978-08,37618333333.333336
1978-09,37179000000.0
1978-10,36739666666.666664
1978-11,36300333333.333336
1978-12,35861000000.0
1979-01,35518083333.333336
1979-02,35175166666.666664
1979-03,34832250000.0
1979-04,34489333333.333336
1979-05,34146416666.666668
1979-06,33803500000.0
1979-07,33460583333.333332
1979-08,33117666666.666668
1979-09,32774750000.0
1979-10,32431833333.333332
1979-11,32088916666.666668
1979-12,31746000000.0
1980-01,31624750000.0
1980-02,31503500000.0
1980-03,31382250000.0
1980-04,31261000000.0
1980-05,31139750000.0
1980-06,31018500000.0
1980-07,30897250000.0
1980-08,30776000000.0
1980-09,30654750000.0
1980-10,30533500000.0
1980-11,30412250000.0
1980-12,30291000000.0
1981-01,29971166666.666668
1981-02,29651333333.333332
1981-03,29331500000.0
1981-04,29011666666.666668
1981-05,28691833333.333332
1981-06,28372000000.0
1981-07,28052166666.666668
1981-08,27732333333.333332
1981-09,27412500000.0
1981-10,27092666666.666668
1981-11,26772833333.333332
1981-12,26453000000.0
1982-01,26293500000.0
1982-02,26134000000.0
1982-03,25974500000.0
1982-04,25815000000.0
1982-05,25655500000.0
1982-06,25496000000.0
1982-07,25336500000.0
1982-08,25177000000.0
1982-09,25017500000.0
1982-10,24858000000.0
1982-11,24698500000.0
1982-12,24539000000.0
1983-01,24558916666.666668
1983-02,24578833333.333332
1983-03,24598750000.0
1983-04,24618666666.666668
1983-05,24638583333.333332
1983-06,24658500000.0
1983-07,24678416666.666668
1983-08,24698333333.333332
1983-09,24718250000.0
1983-10,24738166666.666668
1983-11,24758083333.333332
1983-12,24778000000.0
1984-01,24785416666.666668
1984-02,24792833333.333332
1984-03,24800250000.0
1984-04,24807666666.666668
1984-05,24815083333.333332
1984-06,24822500000.0
1984-07,24829916666.666668
1984-08,24837333333.333332
1984-09,24844750000.0
1984-10,24852166666.666668
1984-11,24859583333.333332
1984-12,24867000000.0
1985-01,25384333333.333332
1985-02,25901666666.666668
1985-03,26419000000.0
1985-04,26936333333.333332
1985-05,27453666666.666668
1985-06,27971000000.0
1985-07,28488333333.333332
1985-08,29005666666.666668
1985-09,29523000000.0
1985-10,30040333333.333332
1985-11,30557666666.666664
1985-12,31075000000.0
1986-01,31999000000.0
1986-02,32923000000.0
1986-03,33847000000.0
1986-04,34771000000.0
1986-05,35695000000.0
1986-06,36619000000.0
1986-07,37543000000.0
1986-08,38467000000.0
1986-09,39391000000.0
1986-10,40315000000.0
1986-11,41239000000.0
1986-12,42163000000.0
1987-01,42554500000.0
1987-02,42946000000.0
1987-03,43337500000.0
1987-04,43729000000.0
1987-05,44120500000.0
1987-06,44512000000.0
1987-07,44903500000.0
1987-08,45295000000.0
1987-09,45686500000.0
1987-10,46078000000.0
1987-11,46469500000.0
1987-12,46861000000.0
1988-01,48689833333.333336
1988-02,50518666666.666664
1988-03,52347500000.0
1988-04,54176333333.333336
1988-05,56005166666.666664
1988-06,57834000000.0
1988-07,59662833333.33333
1988-08,61491666666.666664
1988-09,63320500000.0
1988-10,65149333333.33333
1988-11,66978166666.666664
1988-12,68807000000.0
1989-01,72219916666.66667
1989-02,75632833333.33333
1989-03,79045750000.0
1989-04,82458666666.66667
1989-05,85871583333.33333
1989-06,89284500000.0
1989-07,92697416666.66666
1989-08,96110333333.33333
1989-09,99523250000.0
1989-10,102936166666.66666
1989-11,106349083333.33333
1989-12,109762000000.0
1990-01,114195833333.33333
1990-02,118629666666.66667
1990-03,123063500000.0
1990-04,127497333333.33333
1990-05,131931166666.66666
1990-06,136365000000.0
1990-07,140798833333.33334
1990-08,145232666666.66666
1990-09,149666500000.0
1990-10,154100333333.3333
1990-11,158534166666.66666
1990-12,162968000000.0
1991-01,168160416666.66666
1991-02,173352833333.33334
1991-03,178545250000.0
1991-04,183737666666.66666
1991-05,188930083333.33334
1991-06,194122500000.0
1991-07,199314916666.6667
1991-08,204507333333.33334
1991-09,209699750000.0
1991-10,214892166666.6667
1991-11,220084583333.33334
1991-12,225277000000.0
1992-01,229899500000.0
1992-02,234522000000.0
1992-03,239144500000.0
1992-04,243767000000.0
1992-05,248389500000.0
1992-06,253012000000.0
1992-07,257634500000.0
1992-08,262257000000.0
1992-09,266879500000.0
1992-10,271502000000.0
1992-11,276124500000.0
1992-12,280747000000.0
1993-01,284974166666.6667
1993-02,289201333333.3333
1993-03,293428500000.0
1993-04,297655666666.6667
1993-05,301882833333.3333
1993-06,306110000000.0
1993-07,310337166666.6667
1993-08,314564333333.3333
1993-09,318791500000.0
1993-10,323018666666.6667
1993-11,327245833333.3333
1993-12,331473000000.0
1994-01,335374000000.0
1994-02,339275000000.0
1994-03,343176000000.0
1994-04,347077000000.0
1994-05,350978000000.0
1994-06,354879000000.0
1994-07,358780000000.0
1994-08,362681000000.0
1994-09,366582000000.0
1994-10,370483000000.0
1994-11,374384000000.0
1994-12,378285000000.0
1995-01,383126666666.6667
1995-02,387968333333.3333
1995-03,392810000000.0
1995-04,397651666666.6667
1995-05,402493333333.3333
1995-06,407335000000.0
1995-07,412176666666.6667
1995-08,417018333333.3333
1995-09,421860000000.0
1995-10,426701666666.6667
1995-11,431543333333.3333
1995-12,436385000000.0
1996-01,441358583333.3333
1996-02,446332166666.6667
1996-03,451305750000.0
1996-04,456279333333.3333
1996-05,461252916666.6667
1996-06,466226500000.0
1996-07,471200083333.3333
1996-08,476173666666.6667
1996-09,481147250000.0
1996-10,486120833333.3333
1996-11,491094416666.6667
1996-12,496068000000.0
1997-01,501974833333.3333
1997-02,507881666666.6667
1997-03,513788500000.0
1997-04,519695333333.3333
1997-05,525602166666.6667
1997-06,531509000000.0
1997-07,537415833333.3333
1997-08,543322666666.6667
1997-09,549229500000.0
1997-10,555136333333.3334
1997-11,561043166666.6666
1997-12,566950000000.0
1998-01,574330000000.0
1998-02,581710000000.0
1998-03,589090000000.0
1998-04,596470000000.0
1998-05,603850000000.0
1998-06,611230000000.0
1998-07,618610000000.0
1998-08,625990000000.0
1998-09,633370000000.0
1998-10,640750000000.0
1998-11,648130000000.0
1998-12,655510000000.0
1999-01,664422500000.0
1999-02,673335000000.0
1999-03,682247500000.0
1999-04,691160000000.0
1999-05,700072500000.0
